,ID,datetime,temperature,var1,pressure,windspeed,var2,ws,hour,month,electricity_consumption,ec_lower,ec_upper
0,552,2013-07-24 00:00:00,-10.0,-16.4,1011.0,263.28,A,5.573218104635084,0,7,222.0048519648572,142.63496717802752,345.5404748992751
1,553,2013-07-24 01:00:00,-10.0,-20.7,1011.0,267.175,A,5.58790387441096,1,7,198.28500232172289,127.40492692308969,308.5982865439736
2,554,2013-07-24 02:00:00,-10.7,-17.1,1003.0,269.555,A,5.5967724511598815,2,7,213.44696554586488,137.15954202027118,332.16505705453767
3,555,2013-07-24 03:00:00,-13.6,-20.7,1008.0,273.06,A,5.6096915512566055,3,7,194.37482051627913,124.89879606000332,302.4974782990292
4,556,2013-07-24 04:00:00,-10.7,-17.1,1006.0,1.765,A,0.56815069038526,4,7,301.6357989035705,194.02114062186058,468.9393892262477
5,557,2013-07-24 05:00:00,-10.7,-20.0,1009.0,2.915,A,1.0698698198024557,5,7,252.69452122208895,162.48012274688793,392.99897105034535
6,558,2013-07-24 06:00:00,-12.1,-20.7,997.0,6.295,A,1.8397556674963105,6,7,230.23796231023164,148.11487725204114,357.8946306559298
7,559,2013-07-24 07:00:00,-15.7,-17.9,1003.0,8.675,A,2.160445325832923,7,7,244.8627728072496,157.64911374461428,380.3242281715843
8,560,2013-07-24 08:00:00,-12.9,-17.1,996.0,12.18,A,2.4997952622817508,8,7,246.90362197165666,158.9836685477053,383.4444072123698
9,561,2013-07-24 09:00:00,-10.0,-19.3,999.0,2.14,A,0.7608058290337602,9,7,247.42259626815348,158.99789234804135,385.0236015083115
10,562,2013-07-24 10:00:00,-8.6,-15.7,1005.0,5.005,A,1.6104374127671839,10,7,269.33214348355847,173.38316722837178,418.3785812258364
11,563,2013-07-24 11:00:00,-7.9,-17.1,1012.0,4.13,A,1.4182774069729414,11,7,252.19958609698844,162.3042937399825,391.88508055978645
12,564,2013-07-24 12:00:00,-5.7,-18.6,1004.0,5.545,A,1.7128966208023304,12,7,234.4271926722594,150.85244296469784,364.30373671215483
13,565,2013-07-24 13:00:00,-5.7,-15.7,994.0,2.39,A,0.8712933659434193,13,7,284.4650917683097,183.06374599615015,442.03393738296296
14,566,2013-07-24 14:00:00,-3.6,-16.4,998.0,4.88,A,1.5851452198650557,14,7,261.60444999960293,168.4120979662676,406.3656298213352
15,567,2013-07-24 15:00:00,-5.0,-16.4,997.0,2.39,A,0.8712933659434193,15,7,272.81722273526907,175.4915014140354,424.118754590772
16,568,2013-07-24 16:00:00,-3.6,-15.0,993.0,3.755,A,1.3230882852160981,16,7,294.4591953819097,189.51188836399962,457.5238972787984
17,569,2013-07-24 17:00:00,-4.3,-16.4,991.0,7.885,A,2.0649622204150018,17,7,262.2457525823469,168.83161543768531,407.3457128819876
18,570,2013-07-24 18:00:00,-7.1,-17.1,1011.0,10.39,A,2.340843805111136,18,7,250.6696475732655,161.38687562414077,389.34561420498824
19,571,2013-07-24 19:00:00,-7.1,-17.9,1008.0,1.515,A,0.4154154389613324,19,7,280.69166682059154,180.4071515150531,436.7222206041424
20,572,2013-07-24 20:00:00,-10.0,-14.3,994.0,2.39,A,0.8712933659434193,20,7,337.78339295771474,217.39362678437593,524.8434475551338
21,573,2013-07-24 21:00:00,-7.9,-17.9,996.0,3.655,A,1.2960960932017418,21,7,282.265547941499,181.614404960698,438.69779807365154
22,574,2013-07-24 22:00:00,-11.4,-17.1,992.0,4.545,A,1.514027727629442,22,7,293.8892185170937,189.16051421012256,456.60096199910885
23,575,2013-07-24 23:00:00,-10.7,-14.3,1001.0,4.9350000000000005,A,1.596352672885445,23,7,334.3992533586144,215.31659927877098,519.3415696762952
24,576,2013-07-25 00:00:00,-10.0,-19.3,1001.0,5.825,A,1.7621589994517644,0,7,258.46893667637426,166.3242269236065,401.6624184118407
25,577,2013-07-25 01:00:00,-12.1,-16.4,992.0,2.415,A,0.881699287104536,1,7,308.0038674227211,198.19005888458543,478.66367708482244
26,578,2013-07-25 02:00:00,-7.9,-15.7,1007.0,5.205,A,1.6496197020669323,2,7,297.6429813536596,191.62019367157848,462.3278092544534
27,579,2013-07-25 03:00:00,-8.6,-15.0,998.0,8.46,A,2.135349173618132,3,7,293.2142311114885,188.8090637454622,455.3520028159542
28,580,2013-07-25 04:00:00,-10.0,-17.9,1003.0,11.715,A,2.460870071959759,4,7,257.0079552364602,165.47758428403154,399.16638462313114
29,581,2013-07-25 05:00:00,-12.1,-18.6,1003.0,15.51,A,2.7414849771884473,5,7,236.46908296042974,152.2399390896598,367.29932717074075
30,582,2013-07-25 06:00:00,-10.7,-17.1,997.0,19.39,A,2.9647574692545606,6,7,243.3001718411427,156.65794463854292,377.8612936261242
31,583,2013-07-25 07:00:00,-10.0,-16.4,1006.0,24.185,A,3.1857326062749465,7,7,241.03342499663964,155.19187205058878,374.3566669952435
32,584,2013-07-25 08:00:00,-7.9,-17.9,1013.0,28.355,A,3.3448033814659914,8,7,226.12901997964065,145.58338267207031,351.2374334104731
33,585,2013-07-25 09:00:00,-7.1,-20.0,1013.0,37.155,A,3.6150983516094324,9,7,202.697511452594,130.43754176667696,314.98815902685806
34,586,2013-07-25 10:00:00,-7.9,-17.1,1002.0,44.305,A,3.7910975374992657,10,7,217.09455911849815,139.74888040052824,337.24812294579885
35,587,2013-07-25 11:00:00,-7.9,-19.3,997.0,50.955,A,3.9309428902806567,11,7,202.16905425094322,130.10953441656852,314.1378276388331
